Date,Open,High,Low,Price,Volume,Chg%
"Feb 22, 2021",88800.00,88800.00,86226.00,86921.30,33.73,-1.36%
"Feb 19, 2021",88160.00,89369.85,87000.00,88120.10,34.83,-0.86%
"Feb 18, 2021",89500.00,90000.00,88350.00,88881.35,36.4,-0.34%
"Feb 17, 2021",90999.90,90999.90,88811.00,89184.50,39.38,-0.44%
"Feb 16, 2021",91499.00,91550.00,89003.80,89575.35,59,-1.18%
"Feb 15, 2021",92373.40,92450.00,90000.00,90643.90,54.27,-0.69%
"Feb 12, 2021",92000.00,93480.00,90085.00,91278.05,138.06,1.32%
"Feb 11, 2021",96770.00,98599.95,89120.00,90084.70,182.95,-7.10%
"Feb 10, 2021",93852.00,97880.80,92750.00,96973.85,72.31,3.61%
"Feb 09, 2021",91495.00,94699.00,90400.00,93597.90,69.6,3.00%
"Feb 08, 2021",92249.90,92551.25,90000.00,90870.75,36.57,0.20%
"Feb 05, 2021",93318.30,93566.95,90272.15,90693.05,49.12,-1.62%
"Feb 04, 2021",90999.90,93780.00,89964.00,92181.95,63.58,2.47%
"Feb 03, 2021",91583.20,93278.35,89500.05,89963.50,44.55,-0.86%
"Feb 02, 2021",89450.00,91949.90,88926.85,90745.95,51.52,2.96%
"Feb 01, 2021",84888.00,88798.60,83900.05,88133.65,46.02,4.83%
"Jan 29, 2021",88499.10,89388.00,83455.70,84069.15,56.24,-3.91%
"Jan 28, 2021",88100.00,89411.60,87122.75,87487.70,51.94,-1.23%
"Jan 27, 2021",90100.00,90177.25,87510.00,88577.75,58.53,-1.18%
"Jan 25, 2021",93879.95,93879.95,89205.10,89638.35,60.28,-2.89%
"Jan 22, 2021",92444.00,94345.95,91420.00,92305.95,90.87,0.65%
"Jan 21, 2021",93600.00,96479.70,90602.00,91712.90,111.42,-1.47%
"Jan 20, 2021",87800.00,94120.15,87600.60,93081.50,80.49,6.75%
"Jan 19, 2021",86150.00,88005.70,86150.00,87197.55,21.31,1.79%
"Jan 18, 2021",87800.00,88165.60,85111.25,85661.85,30.79,-2.16%
"Jan 15, 2021",89150.00,89823.90,86401.30,87551.75,57.5,-1.35%
"Jan 14, 2021",86300.00,89938.10,85785.00,88749.65,55.67,3.63%
"Jan 13, 2021",86200.00,87399.95,85300.00,85642.30,57.62,-0.12%
"Jan 12, 2021",82400.00,87000.00,81712.40,85746.90,87.94,3.93%
"Jan 11, 2021",80700.00,83000.00,80500.00,82507.90,48.48,2.36%
"Jan 08, 2021",77780.00,81399.00,77600.00,80602.10,31.73,4.23%
"Jan 07, 2021",79500.00,79500.00,77000.00,77332.60,21.77,-1.80%
"Jan 06, 2021",79053.00,79800.00,77619.20,78752.25,30.43,-0.38%
"Jan 05, 2021",77800.00,79373.00,77700.00,79053.00,25.54,0.83%
"Jan 04, 2021",76200.65,78900.00,75900.00,78402.20,28.15,3.13%
"Jan 01, 2021",76000.00,76334.35,75550.00,76021.65,13.25,0.36%
